probe: using server at http://127.0.0.1:8766 (spawned)
PASS  announce: the destination line names the place, range, bearing, and the approach — High Country Ranch · 10 m west · via the yard
    [hunt 2] player=(-397.5, 304.4) wedged=0 timedOut=0 prompt=""
    [ride] Ranch overlook (route): 509 m to go at (-464, -1)
    [ride] Ranch overlook (route): 493 m to go at (-469, -25)
    [ride] Ranch overlook (route): 503 m to go at (-449, 3)
    [ride] Ranch overlook (route): 509 m to go at (-465, -1)
    [ride] Ranch overlook (route): 493 m to go at (-469, -25)
    [ride] Ranch overlook (route): 504 m to go at (-448, 5)
    [ride] Ranch overlook (route): 509 m to go at (-464, -1)
    [ride] Ranch overlook (route): 493 m to go at (-469, -25)
    [ride] Ranch overlook (route): 492 m to go at (-450, -12)
    [ride] Ranch overlook (route): 495 m to go at (-474, -26)
    [ride] Ranch overlook (route): 488 m to go at (-457, -21)
    [ride] Ranch overlook (route): 490 m to go at (-462, -23)
    [ride] Ranch overlook (route): 478 m to go at (-471, -45)
    [ride] Ranch overlook (route): 465 m to go at (-474, -67)
    [ride] Ranch overlook (route): 477 m to go at (-457, -36)
    [ride] Ranch overlook (route): 480 m to go at (-473, -45)
    [ride] Ranch overlook (route): 466 m to go at (-477, -68)
    [ride] Ranch overlook (route): 451 m to go at (-479, -90)
    [ride] Ranch overlook (route): 435 m to go at (-480, -114)
    [ride] Ranch overlook (route): 421 m to go at (-480, -135)
    [ride] Ranch overlook (route): 407 m to go at (-480, -157)
    [ride] Ranch overlook (route): 394 m to go at (-480, -179)
    [ride] Ranch overlook (route): 376 m to go at (-480, -211)
    [ride] Ranch overlook (route): 368 m to go at (-480, -227)
    [ride] Ranch overlook (route): 359 m to go at (-480, -247)
    [ride] Ranch overlook (route): 349 m to go at (-480, -269)
    [ride] Ranch overlook (route): 339 m to go at (-480, -297)
    [ride] Ranch overlook (route): 352 m to go at (-473, -249)
    [ride] Ranch overlook (route): 357 m to go at (-478, -247)
    [ride] Ranch overlook (route): 355 m to go at (-489, -275)
    [ride] Ranch overlook (route): 343 m to go at (-472, -267)
    [ride] Ranch overlook (route): 350 m to go at (-488, -288)
    [ride] Ranch overlook (route): 343 m to go at (-469, -260)
    [ride] Ranch overlook (route): 353 m to go at (-484, -270)
    [ride] Ranch overlook (route): 344 m to go at (-483, -293)
    [ride] Ranch overlook (route): 333 m to go at (-481, -318)
    [ride] Ranch overlook (route): 333 m to go at (-470, -285)
    [ride] Ranch overlook (route): 345 m to go at (-484, -293)
    [ride] Ranch overlook (route): 337 m to go at (-484, -317)
    [ride] Ranch overlook (route): 329 m to go at (-481, -338)
    [ride] Ranch overlook (route): 324 m to go at (-480, -361)
    [ride] Ranch overlook (route): 321 m to go at (-480, -384)
    [ride] Ranch overlook (route): 300 m to go at (-459, -385)
    [ride] Ranch overlook (route): 290 m to go at (-450, -398)
    [ride] Ranch overlook (route): 271 m to go at (-431, -406)
    [ride] Ranch overlook (route): 261 m to go at (-420, -401)
    [ride] Ranch overlook (route): 266 m to go at (-426, -403)
    [ride] Ranch overlook (route): 261 m to go at (-420, -399)
    [ride] Ranch overlook (route): 285 m to go at (-444, -389)
    [ride] Ranch overlook (route): 262 m to go at (-421, -401)
    [ride] Ranch overlook (route): 275 m to go at (-435, -407)
    [ride] Ranch overlook (route): 255 m to go at (-414, -384)
    [ride] Ranch overlook (route): 276 m to go at (-435, -383)
    [ride] Ranch overlook (route): 308 m to go at (-468, -400)
    [ride] Ranch overlook (route): 265 m to go at (-425, -389)
    [ride] Ranch overlook (route): 262 m to go at (-422, -393)
    [ride] Ranch overlook (route): 240 m to go at (-400, -397)
    [ride] Ranch overlook (route): 215 m to go at (-375, -397)
    [ride] Ranch overlook (route): 251 m to go at (-409, -385)
    [ride] Ranch overlook (route): 238 m to go at (-398, -399)
    [ride] Ranch overlook (route): 216 m to go at (-376, -399)
    [ride] Ranch overlook (route): 195 m to go at (-355, -397)
    [ride] Ranch overlook (route): 172 m to go at (-331, -397)
    [ride] Ranch overlook (route): 203 m to go at (-361, -386)
    [ride] Ranch overlook (route): 195 m to go at (-355, -399)
    [ride] Ranch overlook (route): 171 m to go at (-331, -400)
    [ride] Ranch overlook (route): 149 m to go at (-309, -398)
    [ride] Ranch overlook (route): 126 m to go at (-285, -398)
    [ride] Ranch overlook (route): 96 m to go at (-255, -398)
    [ride] Ranch overlook (route): 75 m to go at (-234, -399)
    [ride] Ranch overlook (route): 51 m to go at (-210, -399)
    [ride] Ranch overlook (route): 79 m to go at (-237, -391)
    [ride] Ranch overlook (route): 58 m to go at (-218, -399)
    [ride] Ranch overlook (route: overlook.overlook): 34 m to go at (-193, -400)
    [ride] Ranch overlook (route): 11 m to go at (-170, -406)
    [ride] Ranch overlook (route: overlook.overlook): 28 m to go at (-179, -389)
    [ride] Ranch overlook (route): 11 m to go at (-170, -412)
    [ride] Ranch overlook (route: overlook.overlook): 24 m to go at (-175, -391)
    [ride] Ranch overlook (route): 11 m to go at (-170, -414)
    [ride] Ranch overlook (route: overlook.overlook): 23 m to go at (-175, -392)
    [ride] Ranch overlook (route): 12 m to go at (-169, -416)
    [ride] Ranch overlook (route: overlook.overlook): 22 m to go at (-175, -392)
    [ride] Ranch overlook (route): 11 m to go at (-169, -415)
    [ride] Ranch overlook (route: overlook.overlook): 22 m to go at (-174, -393)
    [ride] Ranch overlook (route): 11 m to go at (-169, -416)
    [ride] Ranch overlook (route: overlook.overlook): 36 m to go at (-195, -400)
    [ride] Ranch overlook (route): 11 m to go at (-171, -409)
    [ride] Ranch overlook (route: overlook.overlook): 23 m to go at (-175, -392)
    [ride] Ranch overlook (route): 12 m to go at (-156, -420)
    [ride] Ranch overlook (route: overlook.overlook): 21 m to go at (-174, -393)
    [ride] Ranch overlook (route): 11 m to go at (-169, -415)
    [ride] Ranch overlook (route: overlook.overlook): 34 m to go at (-194, -402)
    [ride] Ranch overlook (route): 7 m to go at (-167, -408)
    [ride] Ranch overlook (route: overlook.overlook): 32 m to go at (-186, -390)
    [ride] Ranch overlook (route): 10 m to go at (-170, -411)
    [ride] Ranch overlook (route: overlook.overlook): 25 m to go at (-177, -390)
    [ride] Ranch overlook (route): 11 m to go at (-169, -414)
    [ride] Ranch overlook (route: overlook.overlook): 36 m to go at (-193, -394)
    [ride] Ranch overlook (route): 11 m to go at (-171, -409)
    [ride] Ranch overlook (route: overlook.overlook): 34 m to go at (-190, -393)
    [ride] Ranch overlook (route): 8 m to go at (-168, -410)
    [ride] Ranch overlook (route: overlook.overlook): 30 m to go at (-182, -388)
    [ride] Ranch overlook (route): 10 m to go at (-170, -411)
    [ride] Ranch overlook (route: overlook.overlook): 23 m to go at (-175, -391)
PASS  leg2: arriving at the announced place is an event — objective=Glass the smoke from the overlook
PASS  leg2: the world announces what you arrived at — The Ranch Overlook. Far to the north, a column of smoke stan
PASS  leg2: the target line still resolves the loop's next place — Ranch overlook · 120 m north · via the vantage
PASS  leg2: the announced range shrank across the ride — Ranch overlook · 120 m north · via the vantage
    [ride] Ranch overlook (route): 117 m to go at (-164, -292)
    [ride] Ranch overlook (route: overlook.overlook): 18 m to go at (-177, -405)
    [ride] Ranch overlook (route): 11 m to go at (-170, -414)
    [ride] Ranch overlook (route: overlook.overlook): 27 m to go at (-181, -392)
    [ride] Ranch overlook (route): 11 m to go at (-166, -418)
    [ride] Ranch overlook (route: overlook.overlook): 28 m to go at (-180, -389)
    [ride] Ranch overlook (route): 11 m to go at (-169, -415)
    [ride] Ranch overlook (route: overlook.overlook): 22 m to go at (-174, -392)
    [ride] Ranch overlook (route): 12 m to go at (-169, -416)
    [ride] Ranch overlook (route: overlook.overlook): 25 m to go at (-176, -390)
    [ride] Ranch overlook (route): 11 m to go at (-168, -416)
    [ride] Ranch overlook (route: overlook.overlook): 29 m to go at (-180, -389)
    [ride] Ranch overlook (route): 10 m to go at (-163, -399)
    [ride] Ranch overlook (route: overlook.overlook): 15 m to go at (-173, -403)
    [ride] Ranch overlook (route): 12 m to go at (-154, -419)
    [ride] Ranch overlook (route: overlook.overlook): 18 m to go at (-173, -396)
    [ride] Ranch overlook (route): 12 m to go at (-162, -397)
    [ride] Ranch overlook (route: overlook.overlook): 16 m to go at (-172, -399)
    [ride] Ranch overlook (route): 11 m to go at (-166, -419)
    [ride] Ranch overlook (route: overlook.overlook): 24 m to go at (-184, -413)
    [ride] Ranch overlook (route): 12 m to go at (-172, -409)
    [ride] Ranch overlook (route: overlook.overlook): 16 m to go at (-172, -399)
    [ride] Ranch overlook (route): 12 m to go at (-155, -420)
    [ride] Ranch overlook (route: overlook.overlook): 16 m to go at (-176, -407)
    [ride] Ranch overlook (route): 12 m to go at (-162, -397)
    [ride] Ranch overlook (route: overlook.overlook): 26 m to go at (-186, -410)
    [ride] Ranch overlook (route): 11 m to go at (-161, -398)
    [ride] Ranch overlook (route: overlook.overlook): 17 m to go at (-177, -409)
    [ride] Ranch overlook (route): 11 m to go at (-159, -398)
    [ride] Ranch overlook (route: overlook.overlook): 17 m to go at (-177, -409)
    [ride] Ranch overlook (route): 10 m to go at (-158, -399)
    [ride] Ranch overlook (route: overlook.overlook): 20 m to go at (-180, -410)
    [ride] Ranch overlook (route): 11 m to go at (-161, -398)
    [ride] Ranch overlook (route: overlook.overlook): 21 m to go at (-181, -410)
    [ride] Ranch overlook (route): 12 m to go at (-154, -399)
    [ride] Ranch overlook (route: overlook.overlook): 17 m to go at (-177, -408)
    [ride] Ranch overlook (route): 11 m to go at (-164, -419)
    [ride] Ranch overlook (route: overlook.overlook): 16 m to go at (-176, -407)
    [ride] Ranch overlook (route): 11 m to go at (-160, -398)
    [ride] Ranch overlook (route: overlook.overlook): 24 m to go at (-184, -411)
    [ride] Ranch overlook (route): 11 m to go at (-163, -399)
    [ride] Ranch overlook (route: overlook.overlook): 21 m to go at (-181, -410)
    [ride] Ranch overlook (route): 11 m to go at (-162, -398)
    [ride] Ranch overlook (route: overlook.overlook): 19 m to go at (-179, -410)
    [ride] Ranch overlook (route): 12 m to go at (-160, -397)
    [ride] Ranch overlook (route: overlook.overlook): 21 m to go at (-181, -410)
    [ride] Ranch overlook (route): 12 m to go at (-163, -398)
    [ride] Ranch overlook (route: overlook.overlook): 19 m to go at (-179, -410)
    [ride] Ranch overlook (route): 12 m to go at (-161, -397)
    [ride] Ranch overlook (route): 31 m to go at (-183, -388)
    [ride] Ranch overlook (route): 37 m to go at (-196, -406)
    [ride] Ranch overlook (route: overlook.overlook): 27 m to go at (-187, -410)
    [ride] Ranch overlook (route): 11 m to go at (-166, -400)
    [ride] Ranch overlook (route: overlook.overlook): 26 m to go at (-186, -411)
    [ride] Ranch overlook (route): 11 m to go at (-164, -399)
    [ride] Ranch overlook (route: overlook.overlook): 23 m to go at (-183, -411)
probe-travel: FAILED — ride to Ranch overlook stalled at 11 m (best 11 m; player (-161, -398) even after a back-off rescue)
