probe: using server at http://127.0.0.1:8766 (spawned)
PASS  announce: the destination line names the place, range, bearing, and the approach — High Country Ranch · 10 m west · via the yard
    [hunt 2] player=(-397.4, 304.6) wedged=0 timedOut=0 prompt=""
    [ride] Ranch overlook (route): 506 m to go at (-447, 8)
    [ride] Ranch overlook (route): 509 m to go at (-464, -1)
    [ride] Ranch overlook (route): 495 m to go at (-468, -22)
    [ride] Ranch overlook (route): 478 m to go at (-470, -45)
    [ride] Ranch overlook (route): 463 m to go at (-474, -68)
    [ride] Ranch overlook (route): 451 m to go at (-478, -90)
    [ride] Ranch overlook (route): 436 m to go at (-480, -112)
    [ride] Ranch overlook (route): 422 m to go at (-480, -134)
    [ride] Ranch overlook (route): 407 m to go at (-480, -157)
    [ride] Ranch overlook (route): 394 m to go at (-480, -179)
    [ride] Ranch overlook (route): 411 m to go at (-471, -140)
    [ride] Ranch overlook (route): 412 m to go at (-487, -159)
    [ride] Ranch overlook (route): 418 m to go at (-475, -134)
    [ride] Ranch overlook (route): 411 m to go at (-488, -161)
    [ride] Ranch overlook (route): 405 m to go at (-469, -148)
    [ride] Ranch overlook (route): 412 m to go at (-491, -163)
    [ride] Ranch overlook (route): 405 m to go at (-470, -148)
    [ride] Ranch overlook (route): 410 m to go at (-491, -167)
    [ride] Ranch overlook (route): 407 m to go at (-469, -144)
    [ride] Ranch overlook (route): 412 m to go at (-489, -161)
    [ride] Ranch overlook (route): 405 m to go at (-469, -147)
    [ride] Ranch overlook (route): 412 m to go at (-490, -163)
    [ride] Ranch overlook (route): 404 m to go at (-469, -150)
    [ride] Ranch overlook (route): 410 m to go at (-491, -167)
    [ride] Ranch overlook (route): 404 m to go at (-471, -152)
    [ride] Ranch overlook (route): 411 m to go at (-491, -166)
    [ride] Ranch overlook (route): 398 m to go at (-486, -181)
    [ride] Ranch overlook (route): 389 m to go at (-471, -175)
    [ride] Ranch overlook (route): 398 m to go at (-492, -190)
    [ride] Ranch overlook (route): 391 m to go at (-469, -171)
    [ride] Ranch overlook (route): 398 m to go at (-490, -186)
    [ride] Ranch overlook (route): 385 m to go at (-485, -204)
    [ride] Ranch overlook (route): 383 m to go at (-470, -184)
    [ride] Ranch overlook (route): 378 m to go at (-488, -221)
    [ride] Ranch overlook (route): 377 m to go at (-473, -199)
    [ride] Ranch overlook (route): 381 m to go at (-490, -219)
    [ride] Ranch overlook (route): 373 m to go at (-485, -226)
    [ride] Ranch overlook (route): 365 m to go at (-473, -222)
    [ride] Ranch overlook (route): 359 m to go at (-480, -248)
    [ride] Ranch overlook (route): 355 m to go at (-488, -273)
    [ride] Ranch overlook (route): 344 m to go at (-469, -256)
    [ride] Ranch overlook (route): 356 m to go at (-491, -279)
    [ride] Ranch overlook (route): 342 m to go at (-484, -298)
    [ride] Ranch overlook (route): 348 m to go at (-479, -270)
    [ride] Ranch overlook (route): 344 m to go at (-485, -296)
    [ride] Ranch overlook (route): 338 m to go at (-471, -275)
    [ride] Ranch overlook (route): 326 m to go at (-470, -307)
    [ride] Ranch overlook (route): 341 m to go at (-490, -322)
    [ride] Ranch overlook (route): 333 m to go at (-485, -339)
    [ride] Ranch overlook (route): 325 m to go at (-481, -361)
    [ride] Ranch overlook (route): 321 m to go at (-480, -384)
    [ride] Ranch overlook (route): 307 m to go at (-467, -394)
    [ride] Ranch overlook (route): 315 m to go at (-472, -363)
    [ride] Ranch overlook (route): 325 m to go at (-484, -383)
    [ride] Ranch overlook (route): 309 m to go at (-469, -397)
    [ride] Ranch overlook (route): 313 m to go at (-470, -366)
    [ride] Ranch overlook (route): 329 m to go at (-488, -392)
    [ride] Ranch overlook (route): 317 m to go at (-474, -365)
    [ride] Ranch overlook (route): 309 m to go at (-469, -395)
    [ride] Ranch overlook (route): 312 m to go at (-469, -367)
    [ride] Ranch overlook (route): 325 m to go at (-484, -386)
    [ride] Ranch overlook (route): 308 m to go at (-468, -397)
    [ride] Ranch overlook (route): 285 m to go at (-445, -397)
    [ride] Ranch overlook (route): 263 m to go at (-423, -396)
    [ride] Ranch overlook (route): 240 m to go at (-400, -396)
    [ride] Ranch overlook (route): 217 m to go at (-377, -396)
    [ride] Ranch overlook (route): 251 m to go at (-410, -384)
    [ride] Ranch overlook (route): 239 m to go at (-399, -400)
    [ride] Ranch overlook (route): 217 m to go at (-377, -400)
    [ride] Ranch overlook (route): 193 m to go at (-353, -397)
    [ride] Ranch overlook (route): 227 m to go at (-386, -386)
    [ride] Ranch overlook (route): 215 m to go at (-374, -403)
    [ride] Ranch overlook (route): 229 m to go at (-388, -384)
    [ride] Ranch overlook (route): 212 m to go at (-372, -405)
    [ride] Ranch overlook (route): 227 m to go at (-386, -385)
    [ride] Ranch overlook (route): 208 m to go at (-368, -407)
    [ride] Ranch overlook (route): 224 m to go at (-383, -386)
    [ride] Ranch overlook (route): 199 m to go at (-359, -405)
    [ride] Ranch overlook (route): 222 m to go at (-381, -390)
    [ride] Ranch overlook (route): 202 m to go at (-362, -407)
    [ride] Ranch overlook (route): 193 m to go at (-353, -401)
    [ride] Ranch overlook (route): 171 m to go at (-331, -397)
    [ride] Ranch overlook (route): 149 m to go at (-308, -397)
    [ride] Ranch overlook (route): 127 m to go at (-286, -398)
    [ride] Ranch overlook (route): 162 m to go at (-322, -405)
    [ride] Ranch overlook (route): 139 m to go at (-297, -386)
    [ride] Ranch overlook (route): 124 m to go at (-283, -392)
    [ride] Ranch overlook (route): 131 m to go at (-291, -407)
    [ride] Ranch overlook (route): 108 m to go at (-267, -391)
    [ride] Ranch overlook (route): 89 m to go at (-246, -388)
    [ride] Ranch overlook (route): 107 m to go at (-267, -406)
    [ride] Ranch overlook (route): 97 m to go at (-254, -387)
    [ride] Ranch overlook (route): 111 m to go at (-271, -409)
    [ride] Ranch overlook (route): 101 m to go at (-259, -391)
    [ride] Ranch overlook (route): 114 m to go at (-274, -409)
    [ride] Ranch overlook (route): 102 m to go at (-260, -391)
    [ride] Ranch overlook (route): 116 m to go at (-276, -409)
    [ride] Ranch overlook (route): 101 m to go at (-260, -391)
    [ride] Ranch overlook (route): 117 m to go at (-277, -409)
    [ride] Ranch overlook (route): 102 m to go at (-261, -391)
    [ride] Ranch overlook (route): 119 m to go at (-279, -408)
    [ride] Ranch overlook (route): 101 m to go at (-260, -391)
    [ride] Ranch overlook (route): 115 m to go at (-275, -410)
    [ride] Ranch overlook (route): 102 m to go at (-260, -391)
    [ride] Ranch overlook (route): 115 m to go at (-275, -410)
    [ride] Ranch overlook (route): 100 m to go at (-258, -390)
    [ride] Ranch overlook (route): 81 m to go at (-239, -394)
    [ride] Ranch overlook (route): 57 m to go at (-216, -398)
    [ride] Ranch overlook (route: overlook.overlook): 34 m to go at (-193, -399)
    [ride] Ranch overlook (approach): 11 m to go at (-170, -405)
PASS  leg2: arriving at the announced place is an event — objective=Glass the smoke from the overlook
PASS  leg2: the world announces what you arrived at — The Ranch Overlook. Far to the north, a column of smoke stan
PASS  leg2: the target line still resolves the loop's next place — Ranch overlook · 0 m east · via the vantage
PASS  leg2: the announced range shrank across the ride — Ranch overlook · 0 m east · via the vantage
PASS  dismount: off the horse at the overlook — true
PASS  leg3: the examination is offered at the announced place — E — Glass the smoke
PASS  leg3: the discovery is recorded — flag sawArson
probe-travel: FAILED — ride to High Country Ranch stalled at 2168 m (best 764 m; player (1516, -684) even after a back-off rescue)
